host_response_time,room_type,host_response_rate,host_acceptance_rate,host_listings_count,host_has_profile_pic,host_identity_verified,accommodates,bathrooms_text,bedrooms,beds,minimum_nights,maximum_nights,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,name_len,neighborhood_overview_len,host_verifications_len,has_wifi,has_pool,has_kitchen,has_washer,has_dryer,has_ac,has_self_checkin,has_workspace,has_pet_allowed,has_free_parking,desc_1,desc_2,desc_3,desc_4,desc_5,n_1,n_2,n_3,target
1.0,1,100.0,87.0,107.0,1.0,1.0,6,2,2,4,10,1125,6,0,1,1,1,1,1,1,1,0,50,50,0,0,0.06,44,0.0,5,1,1,1,1,1,1,0,0,0,1,0.4133445545549844,-0.05095877176736462,-0.036533215350131806,0.07529330913211621,0.02876162852163678,0.0,0.0,0.0,0
2.0,1,100.0,93.0,1.0,1.0,0.0,7,2,3,3,1,1125,125,22,1,1,1,2,2,1,1,0,1,1,0,0,1.21,16,0.0,3,1,0,1,0,0,1,0,0,0,1,0.22853887253534533,0.11563162247018882,0.00548845152773114,0.24441239315206498,-0.016842527978016105,0.0,0.0,0.0,2
1.0,2,100.0,89.0,2.0,1.0,1.0,2,1,1,1,1,14,102,24,3,3,3,3,3,2,3,0,2,0,2,0,0.98,32,1000.0,7,1,0,1,1,1,1,0,0,0,1,0.1187034910388197,0.01799975179937824,0.002888432606190785,-0.03473238860493321,-0.0562280236959137,0.2107595502133258,-0.1361634125914571,-0.0015890205275952743,2
1.0,2,100.0,89.0,2.0,1.0,1.0,2,1,1,1,1,14,63,14,3,3,3,2,2,1,3,0,2,0,2,0,0.62,31,1000.0,7,1,0,1,1,1,1,0,0,0,1,0.11423709783552954,0.016271238045058666,0.0024241273898142654,-0.027420666089344847,-0.05900650785819932,0.2043688453387117,-0.16279511355388188,-0.014258399175253521,2
2.0,1,100.0,97.0,2.0,1.0,1.0,4,1,1,2,5,1125,84,15,1,1,1,2,1,2,1,0,2,2,0,0,0.9,34,1.0,7,1,0,1,0,0,0,0,0,0,1,0.12389503240927316,-0.0012380614868305606,0.04577876943481301,-0.09848013349697933,-0.01463427746332627,0.0,0.0,0.0,1
2.0,1,100.0,97.0,2.0,1.0,1.0,4,1,1,2,5,1125,78,16,1,1,1,1,1,2,1,0,2,2,0,0,0.75,34,1.0,7,1,0,1,0,0,0,0,0,0,1,0.2335418183236865,0.08034723630903143,0.0615784069270993,-0.025290202651101726,0.01896893842171052,0.0,0.0,0.0,1
1.0,1,86.0,98.0,18.0,1.0,1.0,3,1,6,2,3,90,111,16,1,1,1,1,1,1,1,1,18,18,0,0,1.1,34,45.0,8,1,1,1,1,1,1,0,0,0,1,0.2764093190195786,-0.05832482698032243,0.02790900743339857,-0.03435526770553912,0.031924065385924225,0.08533497638997972,-0.1161003540299633,0.01919117118653989,0
5.0,2,0.0,0.0,1.0,1.0,1.0,2,2,1,1,2,15,0,0,5,5,5,5,5,5,5,0,2,0,2,0,0.0,31,0.0,6,0,1,1,1,1,1,0,0,0,1,0.1395424300354247,-0.037293563903929454,0.002911979913903565,0.007527403443920813,-0.02064619563820066,0.0,0.0,0.0,2
1.0,1,92.0,90.0,5.0,1.0,1.0,6,3,3,3,3,1125,14,7,3,3,3,4,2,4,3,0,6,6,0,0,0.72,50,810.0,5,1,0,1,1,1,1,0,0,0,1,0.19235463944699233,-0.06082544425495884,0.03440620450442814,-0.07340269966452397,-0.030154934155548145,0.19054802805430307,-0.11225818906026791,-0.0266418896711492,1
2.0,1,100.0,100.0,1.0,1.0,1.0,4,1,1,3,3,1125,168,22,3,2,2,3,3,2,3,1,1,1,0,0,1.61,29,358.0,7,1,0,1,1,1,1,0,0,0,1,0.19898846939357628,0.14399153738757156,0.06631165443177722,0.040755916509058854,-0.01430758565231997,0.07826315341994892,-0.099807150268056,0.01099321900349195,2
